epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6658.69091796875,0.7620506286621094
0,24,7215.77734375,,
1,49,,6487.259765625,0.7650544047355652
1,49,6939.8828125,,
2,74,,6464.962890625,0.769201397895813
2,74,6872.716796875,,
3,99,,6497.2041015625,0.7621637582778931
3,99,6852.0126953125,,
4,124,,6426.24658203125,0.7700467705726624
4,124,6838.49365234375,,
5,149,,6364.79638671875,0.771550178527832
5,149,6781.23583984375,,
6,174,,6384.81396484375,0.7786176800727844
6,174,6753.81884765625,,
7,199,,6284.58740234375,0.7752504348754883
7,199,6703.466796875,,
8,224,,6249.4814453125,0.7794883847236633
8,224,6702.2314453125,,
9,249,,6181.458984375,0.7834720015525818
9,249,6666.32421875,,
10,274,,6222.349609375,0.779191792011261
10,274,6640.7919921875,,
11,299,,6215.41015625,0.7823603749275208
11,299,6677.81689453125,,
12,324,,6164.1474609375,0.788774847984314
12,324,6649.44921875,,
13,349,,6115.45703125,0.7944299578666687
13,349,6618.20849609375,,
14,374,,6185.76904296875,0.7906173467636108
14,374,6611.60791015625,,
