epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6699.4580078125,0.760362446308136
0,24,7205.78369140625,,
1,49,,6490.40625,0.7655027508735657
1,49,6940.705078125,,
2,74,,6474.197265625,0.7669280171394348
2,74,6869.9453125,,
3,99,,6463.34619140625,0.7612137198448181
3,99,6846.9814453125,,
4,124,,6390.3876953125,0.7730384469032288
4,124,6831.1328125,,
5,149,,6348.16455078125,0.7765176892280579
5,149,6766.58349609375,,
6,174,,6344.37890625,0.7773387432098389
6,174,6734.8671875,,
7,199,,6276.1650390625,0.7706717848777771
7,199,6707.12451171875,,
8,224,,6263.6328125,0.7818171977996826
8,224,6690.53125,,
9,249,,6228.83154296875,0.7803632020950317
9,249,6659.21630859375,,
10,274,,6231.30224609375,0.7870984673500061
10,274,6653.9677734375,,
11,299,,6156.48779296875,0.7833665609359741
11,299,6669.7998046875,,
12,324,,6197.68359375,0.7852138876914978
12,324,6656.1552734375,,
13,349,,6100.0810546875,0.7972429990768433
13,349,6616.5546875,,
14,374,,6196.07080078125,0.7899714112281799
14,374,6623.16357421875,,
