epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6687.20556640625,0.7597506642341614
0,24,7200.03125,,
1,49,,6497.341796875,0.7651211619377136
1,49,6937.34912109375,,
2,74,,6472.79443359375,0.767707884311676
2,74,6875.9658203125,,
3,99,,6420.1298828125,0.7646364569664001
3,99,6847.19091796875,,
4,124,,6400.5166015625,0.7754770517349243
4,124,6827.27880859375,,
5,149,,6302.7109375,0.7792143821716309
5,149,6761.08203125,,
6,174,,6312.0751953125,0.7791827321052551
6,174,6724.193359375,,
7,199,,6236.78125,0.7746869325637817
7,199,6691.82568359375,,
8,224,,6231.07470703125,0.7856982350349426
8,224,6678.90283203125,,
9,249,,6191.59228515625,0.7835700511932373
9,249,6647.74951171875,,
10,274,,6211.427734375,0.7845401167869568
10,274,6637.6005859375,,
11,299,,6147.4755859375,0.7879188656806946
11,299,6673.02978515625,,
12,324,,6211.1474609375,0.7916442155838013
12,324,6650.49365234375,,
13,349,,6121.76025390625,0.7953128218650818
13,349,6616.87353515625,,
14,374,,6248.79541015625,0.7860193848609924
14,374,6614.99755859375,,
