epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,24,,0.18199719488620758,0.43445080518722534
0,24,0.18898582458496094,,
1,49,,0.17776648700237274,0.44813427329063416
1,49,0.18529322743415833,,
2,74,,0.17173358798027039,0.46131810545921326
2,74,0.18064750730991364,,
3,99,,0.15868794918060303,0.48813939094543457
3,99,0.17147809267044067,,
4,124,,0.1192946806550026,0.4911660850048065
4,124,0.148803249001503,,
5,149,,0.05045750364661217,0.5089737772941589
5,149,0.10897859930992126,,
6,174,,0.03110536001622677,0.5149625539779663
6,174,0.0952591672539711,,
7,199,,0.030346298590302467,0.5164926052093506
7,199,0.09504438936710358,,
8,224,,0.03080999292433262,0.5172039866447449
8,224,0.09540814906358719,,
9,249,,0.030896255746483803,0.5197473168373108
9,249,0.09499964863061905,,
10,274,,0.03078971616923809,0.5210976004600525
10,274,0.09503740072250366,,
11,299,,0.030889175832271576,0.5222147107124329
11,299,0.09553937613964081,,
12,324,,0.03082149103283882,0.5244777202606201
12,324,0.09549553692340851,,
13,349,,0.03132511302828789,0.5261518955230713
13,349,0.09529745578765869,,
14,374,,0.030988162383437157,0.5271772146224976
14,374,0.09537521004676819,,
