epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.023742470890283585,0.540448009967804
0,49,0.10687532275915146,,
1,99,,0.02654823660850525,0.5831321477890015
1,99,0.07295349985361099,,
2,149,,0.02417941391468048,0.616111695766449
2,149,0.07178407162427902,,
3,199,,0.02400522120296955,0.6500309705734253
3,199,0.07148133218288422,,
4,249,,0.023098312318325043,0.6820083260536194
4,249,0.07176102697849274,,
5,299,,0.023465126752853394,0.6989313364028931
5,299,0.07069146633148193,,
6,349,,0.023547066375613213,0.6984054446220398
6,349,0.07015513628721237,,
7,399,,0.021013332530856133,0.6966351866722107
7,399,0.07029612362384796,,
8,449,,0.0222124345600605,0.69707852602005
8,449,0.07060270011425018,,
9,499,,0.01954185776412487,0.6991336345672607
9,499,0.07011982053518295,,
10,549,,0.01955564133822918,0.6993934512138367
10,549,0.06980877369642258,,
11,599,,0.020641280338168144,0.6991167664527893
11,599,0.06964802742004395,,
12,649,,0.021653369069099426,0.6988742351531982
12,649,0.07018427550792694,,
13,699,,0.019683411344885826,0.7007609605789185
13,699,0.06985028833150864,,
14,749,,0.020716577768325806,0.7011367082595825
14,749,0.06946122646331787,,
