epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.04958237335085869,0.6583674550056458
0,61,0.08967500180006027,,
1,123,,0.04063219204545021,0.7053483128547668
1,123,0.07574725151062012,,
2,185,,0.0383153073489666,0.7405350208282471
2,185,0.07413327693939209,,
3,247,,0.039788249880075455,0.7580291628837585
3,247,0.07253862917423248,,
4,309,,0.035221077501773834,0.7594260573387146
4,309,0.07221182435750961,,
5,371,,0.03564933314919472,0.768437922000885
5,371,0.07208298146724701,,
6,433,,0.037519972771406174,0.7682856321334839
6,433,0.07150576263666153,,
7,495,,0.041443631052970886,0.7816110253334045
7,495,0.07143907248973846,,
8,557,,0.03590752184391022,0.7781144976615906
8,557,0.07098635286092758,,
9,619,,0.03404020145535469,0.7775744199752808
9,619,0.07123071700334549,,
10,681,,0.03474532812833786,0.780669093132019
10,681,0.07063984870910645,,
11,743,,0.038000766187906265,0.7825933694839478
11,743,0.07074037939310074,,
12,805,,0.038330718874931335,0.7693634629249573
12,805,0.07052722573280334,,
13,867,,0.03454408049583435,0.7709311842918396
13,867,0.07056458294391632,,
14,929,,0.03690886124968529,0.7811734080314636
14,929,0.06983482092618942,,
