epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.0499514602124691,0.653295636177063
0,61,0.09032605588436127,,
1,123,,0.041748397052288055,0.6935965418815613
1,123,0.07627642899751663,,
2,185,,0.038617003709077835,0.7269015312194824
2,185,0.07448219507932663,,
3,247,,0.040198516100645065,0.7435811161994934
3,247,0.07280401140451431,,
4,309,,0.03564770892262459,0.7590264081954956
4,309,0.07260624319314957,,
5,371,,0.036162447184324265,0.7652226686477661
5,371,0.07235582172870636,,
6,433,,0.03834665194153786,0.7694865465164185
6,433,0.07174038887023926,,
7,495,,0.0421421118080616,0.7789749503135681
7,495,0.07159806042909622,,
8,557,,0.036163803189992905,0.7791284322738647
8,557,0.07109761983156204,,
9,619,,0.03422043099999428,0.7813604474067688
9,619,0.07135551422834396,,
10,681,,0.03481779620051384,0.7809315323829651
10,681,0.07071086019277573,,
11,743,,0.038277383893728256,0.7811063528060913
11,743,0.07075992226600647,,
12,805,,0.03845769912004471,0.7710658311843872
12,805,0.07052662968635559,,
13,867,,0.0346437469124794,0.7692791819572449
13,867,0.07057254761457443,,
14,929,,0.0371498242020607,0.781222939491272
14,929,0.06988716125488281,,
