epoch,step,train_loss
1,49,0.18239140510559082
3,99,0.1898542195558548
4,149,0.1842334121465683
6,199,0.18728318810462952
8,249,0.1797783523797989
9,299,0.1749202162027359
11,349,0.17984358966350555
12,399,0.20323622226715088
14,449,0.17911595106124878
16,499,0.19712717831134796
17,549,0.18570391833782196
19,599,0.18638639152050018
20,649,0.17377200722694397
22,699,0.17864806950092316
24,749,0.1913425773382187
25,799,0.1932172030210495
27,849,0.1785019189119339
29,899,0.16245733201503754
30,949,0.17345161736011505
32,999,0.1894284188747406
33,1049,0.16051454842090607
35,1099,0.20046284794807434
37,1149,0.18967068195343018
38,1199,0.18457017838954926
40,1249,0.18674947321414948
41,1299,0.19191625714302063
43,1349,0.18893635272979736
45,1399,0.19716042280197144
46,1449,0.19223757088184357
48,1499,0.1922338455915451
49,1549,0.1967904269695282
51,1599,0.18973341584205627
53,1649,0.19212108850479126
54,1699,0.16814963519573212
56,1749,0.19221332669258118
58,1799,0.20254011452198029
59,1849,0.1776467263698578
61,1899,0.18094445765018463
62,1949,0.17449668049812317
64,1999,0.17320387065410614
66,2049,0.183155819773674
67,2099,0.18235254287719727
69,2149,0.18552303314208984
70,2199,0.18858858942985535
72,2249,0.18778100609779358
74,2299,0.18946973979473114
75,2349,0.1860722303390503
77,2399,0.20550216734409332
79,2449,0.19668669998645782
80,2499,0.18513847887516022
82,2549,0.184516042470932
83,2599,0.18783162534236908
85,2649,0.18391792476177216
87,2699,0.17801520228385925
88,2749,0.19204986095428467
90,2799,0.18874868750572205
91,2849,0.18857546150684357
93,2899,0.17022305727005005
95,2949,0.19362859427928925
96,2999,0.1631215214729309
98,3049,0.1899217963218689
99,3099,0.17577683925628662
