epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.10510960221290588,0.5165826678276062
0,49,0.17839479446411133,,
1,99,,0.024282831698656082,0.5436186790466309
1,99,0.07681361585855484,,
2,149,,0.025256730616092682,0.5713892579078674
2,149,0.06929931789636612,,
3,199,,0.025199923664331436,0.5955629348754883
3,199,0.06868854910135269,,
4,249,,0.023591425269842148,0.616408109664917
4,249,0.06915779411792755,,
5,299,,0.023448430001735687,0.6381298899650574
5,299,0.06858440488576889,,
6,349,,0.0223704744130373,0.6565836071968079
6,349,0.06785004585981369,,
7,399,,0.02148662507534027,0.6710789203643799
7,399,0.06716649979352951,,
8,449,,0.021206924691796303,0.6833286881446838
8,449,0.06724275648593903,,
9,499,,0.021347450092434883,0.6916300058364868
9,499,0.06653066724538803,,
10,549,,0.020010100677609444,0.6947523355484009
10,549,0.06678612530231476,,
11,599,,0.020463408902287483,0.6963099837303162
11,599,0.06617482751607895,,
12,649,,0.020646866410970688,0.695827305316925
12,649,0.06644662469625473,,
13,699,,0.02034647762775421,0.6960577964782715
13,699,0.06658066064119339,,
14,749,,0.01999014802277088,0.6967110633850098
14,749,0.06642492860555649,,
