epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,12,,24886.416015625,0.6716802716255188
0,12,25377.841796875,,
1,25,,24283.076171875,0.7392117977142334
1,25,24940.884765625,,
2,38,,24035.328125,0.7424825429916382
2,38,24672.458984375,,
3,51,,24195.16015625,0.7433826923370361
3,51,24632.361328125,,
4,64,,23944.658203125,0.7458745837211609
4,64,24565.142578125,,
5,77,,24080.1015625,0.7481125593185425
5,77,24575.68359375,,
6,90,,24089.373046875,0.7471572756767273
6,90,24545.6640625,,
7,103,,23896.376953125,0.7477510571479797
7,103,24518.279296875,,
8,116,,24084.591796875,0.7439665794372559
8,116,24522.95703125,,
9,129,,23895.005859375,0.7495026588439941
9,129,24481.3203125,,
10,142,,23997.541015625,0.7451860904693604
10,142,24462.3671875,,
11,155,,23854.40234375,0.7535572648048401
11,155,24537.232421875,,
12,168,,24007.041015625,0.7528361082077026
12,168,24507.2578125,,
13,181,,23813.09765625,0.7552817463874817
13,181,24453.923828125,,
14,194,,24060.90625,0.7469677329063416
14,194,24468.443359375,,
