epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4926.68359375,0.7748256921768188
0,15,8630.4951171875,,
1,31,,4670.1416015625,0.8325367569923401
1,31,8047.41796875,,
2,47,,4682.095703125,0.8453578948974609
2,47,7834.78466796875,,
3,63,,4653.65087890625,0.8553662896156311
3,63,7734.14599609375,,
4,79,,4502.1669921875,0.8553287982940674
4,79,7740.16259765625,,
5,95,,4722.9521484375,0.8604727387428284
5,95,7726.7421875,,
6,111,,4411.201171875,0.857718288898468
6,111,7630.712890625,,
7,127,,4520.01318359375,0.8613755702972412
7,127,7568.29052734375,,
8,143,,4475.28173828125,0.8555989265441895
8,143,7556.5693359375,,
9,159,,4522.15673828125,0.847082793712616
9,159,7576.29931640625,,
10,175,,4381.8203125,0.8570123314857483
10,175,7593.07421875,,
11,191,,4395.80810546875,0.8545006513595581
11,191,7534.9736328125,,
12,207,,4345.9384765625,0.8601920008659363
12,207,7513.79833984375,,
13,223,,4450.544921875,0.8543705940246582
13,223,7518.73876953125,,
14,239,,4398.400390625,0.8474412560462952
14,239,7598.896484375,,
