epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,30,,4585.6259765625,0.8530905842781067
0,30,8004.0302734375,,
1,61,,4558.69921875,0.8480620384216309
1,61,7717.7216796875,,
2,92,,4510.54296875,0.8529545068740845
2,92,7554.5654296875,,
3,123,,4400.78271484375,0.8551278710365295
3,123,7480.82958984375,,
4,154,,4475.68798828125,0.8526993989944458
4,154,7524.45947265625,,
5,185,,4412.7529296875,0.8535106182098389
5,185,7444.126953125,,
6,216,,4388.9697265625,0.8517960906028748
6,216,7385.66259765625,,
7,247,,4446.470703125,0.8571473360061646
7,247,7423.880859375,,
8,278,,4390.4833984375,0.8538258671760559
8,278,7402.09033203125,,
9,309,,4379.806640625,0.8539148569107056
9,309,7366.21826171875,,
10,340,,4521.26953125,0.8519302606582642
10,340,7372.39404296875,,
11,371,,4347.35693359375,0.8434792757034302
11,371,7402.5869140625,,
12,402,,4344.1044921875,0.8517902493476868
12,402,7347.93896484375,,
13,433,,4287.0390625,0.8520200252532959
13,433,7381.6591796875,,
14,464,,4339.40234375,0.8515987396240234
14,464,7307.8037109375,,
