epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.024519747123122215,0.558937668800354
0,49,0.09439172595739365,,
1,99,,0.02380101941525936,0.6247480511665344
1,99,0.07632140070199966,,
2,149,,0.021272314712405205,0.6955138444900513
2,149,0.07492009550333023,,
3,199,,0.020511237904429436,0.7016348838806152
3,199,0.07411288470029831,,
4,249,,0.02012285403907299,0.7040656805038452
4,249,0.07404523342847824,,
5,299,,0.01961824856698513,0.7023297548294067
5,299,0.07346212863922119,,
6,349,,0.020723551511764526,0.7028798460960388
6,349,0.07365317642688751,,
7,399,,0.021215690299868584,0.7017881274223328
7,399,0.07326925545930862,,
8,449,,0.019613949581980705,0.7025914192199707
8,449,0.07299692928791046,,
9,499,,0.020172342658042908,0.7031838297843933
9,499,0.07303161919116974,,
10,549,,0.018696187064051628,0.7082883715629578
10,549,0.07295078039169312,,
11,599,,0.01933322101831436,0.710477352142334
11,599,0.07312964648008347,,
12,649,,0.018421687185764313,0.7150522470474243
12,649,0.0725376233458519,,
13,699,,0.0179633479565382,0.7170560359954834
13,699,0.07209966331720352,,
14,749,,0.01780758798122406,0.7207071185112
14,749,0.07315731048583984,,
