epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.024303441867232323,0.5591163039207458
0,49,0.09464055299758911,,
1,99,,0.02408052422106266,0.6266782879829407
1,99,0.07626710832118988,,
2,149,,0.02143314853310585,0.6933059692382812
2,149,0.07493992149829865,,
3,199,,0.020599275827407837,0.7019892334938049
3,199,0.07412523776292801,,
4,249,,0.020134828984737396,0.7038233280181885
4,249,0.07406097650527954,,
5,299,,0.01967471092939377,0.7014645934104919
5,299,0.07349372655153275,,
6,349,,0.02075585350394249,0.7032426595687866
6,349,0.07368990778923035,,
7,399,,0.021294385194778442,0.7013198137283325
7,399,0.07328802347183228,,
8,449,,0.019746914505958557,0.7022700905799866
8,449,0.07301197201013565,,
9,499,,0.020524198189377785,0.7029892206192017
9,499,0.07307571172714233,,
10,549,,0.018721316009759903,0.7086969614028931
10,549,0.0729932114481926,,
11,599,,0.019598377868533134,0.710060715675354
11,599,0.07317128032445908,,
12,649,,0.01853867992758751,0.7117418050765991
12,649,0.07258211076259613,,
13,699,,0.01805310882627964,0.7132171392440796
13,699,0.07215078920125961,,
14,749,,0.018025711178779602,0.7190678119659424
14,749,0.07322460412979126,,
