epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6670.6630859375,0.7517043948173523
0,24,7209.341796875,,
1,49,,6547.2861328125,0.7647906541824341
1,49,6965.6162109375,,
2,74,,6509.03759765625,0.7687784433364868
2,74,6908.064453125,,
3,99,,6558.2763671875,0.7614039182662964
3,99,6881.501953125,,
4,124,,6370.8056640625,0.7749140858650208
4,124,6856.81982421875,,
5,149,,6307.80224609375,0.7772512435913086
5,149,6779.77490234375,,
6,174,,6326.5,0.7784342765808105
6,174,6748.96484375,,
7,199,,6290.66064453125,0.7758760452270508
7,199,6731.52294921875,,
8,224,,6249.32080078125,0.77667635679245
8,224,6716.580078125,,
9,249,,6166.24755859375,0.7868849039077759
9,249,6697.22119140625,,
10,274,,6266.14404296875,0.7772865891456604
10,274,6673.646484375,,
11,299,,6242.31884765625,0.7798686623573303
11,299,6727.5322265625,,
12,324,,6199.220703125,0.7900646924972534
12,324,6693.04443359375,,
13,349,,6129.38720703125,0.7941920757293701
13,349,6657.1533203125,,
14,374,,6193.75439453125,0.7857828140258789
14,374,6654.880859375,,
