epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4859.93701171875,0.7978315949440002
0,15,8333.1298828125,,
1,31,,4707.42724609375,0.8392894864082336
1,31,7874.72802734375,,
2,47,,4607.84033203125,0.8556620478630066
2,47,7640.154296875,,
3,63,,4504.16552734375,0.8544491529464722
3,63,7520.76318359375,,
4,79,,4542.6455078125,0.8569525480270386
4,79,7465.9990234375,,
5,95,,4548.1787109375,0.8489667773246765
5,95,7433.8251953125,,
6,111,,4557.01611328125,0.8565083742141724
6,111,7535.61669921875,,
7,127,,4589.125,0.8519715070724487
7,127,7438.9609375,,
8,143,,4534.404296875,0.858066737651825
8,143,7412.734375,,
9,159,,4460.6240234375,0.854721188545227
9,159,7384.24755859375,,
10,175,,4420.83349609375,0.8551279902458191
10,175,7322.4150390625,,
11,191,,4349.521484375,0.8583196401596069
11,191,7317.318359375,,
12,207,,4446.24755859375,0.8508707880973816
12,207,7317.28564453125,,
13,223,,4338.71435546875,0.8442124724388123
13,223,7305.8798828125,,
14,239,,4384.30810546875,0.8562250733375549
14,239,7282.470703125,,
