epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6635.3955078125,0.7572436332702637
0,24,7258.9326171875,,
1,49,,6524.18701171875,0.7641935348510742
1,49,6917.0654296875,,
2,74,,6502.69775390625,0.7701860666275024
2,74,6848.28173828125,,
3,99,,6494.666015625,0.769011378288269
3,99,6785.19580078125,,
4,124,,6383.69775390625,0.7739286422729492
4,124,6761.103515625,,
5,149,,6318.8125,0.7745289206504822
5,149,6746.498046875,,
6,174,,6312.35009765625,0.7760943174362183
6,174,6705.2412109375,,
7,199,,6271.8955078125,0.7763776779174805
7,199,6667.29248046875,,
8,224,,6169.91943359375,0.7890189290046692
8,224,6623.646484375,,
9,249,,6158.10791015625,0.7873262166976929
9,249,6596.548828125,,
10,274,,6162.64794921875,0.7817245721817017
10,274,6585.6494140625,,
11,299,,6111.38818359375,0.797693133354187
11,299,6558.6435546875,,
12,324,,6116.80615234375,0.7930017709732056
12,324,6553.5888671875,,
13,349,,6099.7138671875,0.8008250594139099
13,349,6541.10986328125,,
14,374,,6111.59423828125,0.7879320979118347
14,374,6535.94970703125,,
15,399,,6079.32958984375,0.7966130375862122
15,399,6519.44921875,,
16,424,,6067.0859375,0.7986694574356079
16,424,6500.30419921875,,
17,449,,6139.271484375,0.7929143309593201
17,449,6502.98291015625,,
18,474,,6047.08154296875,0.7995601296424866
18,474,6502.5439453125,,
19,499,,6079.806640625,0.8006545305252075
