epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.02398044988512993,0.5603106021881104
0,49,0.09764368832111359,,
1,99,,0.02455219440162182,0.6236699819564819
1,99,0.07984518259763718,,
2,149,,0.021792961284518242,0.6933948993682861
2,149,0.07862026989459991,,
3,199,,0.020967703312635422,0.7011955976486206
3,199,0.07766846567392349,,
4,249,,0.020672481507062912,0.7015541791915894
4,249,0.07772808521986008,,
5,299,,0.020039090886712074,0.7022572159767151
5,299,0.07710856199264526,,
6,349,,0.02131287008523941,0.7022302746772766
6,349,0.07736008614301682,,
7,399,,0.021597642451524734,0.6988218426704407
7,399,0.07692871242761612,,
8,449,,0.01995626464486122,0.70311439037323
8,449,0.07679980248212814,,
9,499,,0.02120782807469368,0.7036439776420593
9,499,0.0766938105225563,,
10,549,,0.019215108826756477,0.7072862386703491
10,549,0.07661235332489014,,
11,599,,0.01978985406458378,0.7122888565063477
11,599,0.07684691995382309,,
12,649,,0.01885315030813217,0.7168663740158081
12,649,0.07619471848011017,,
13,699,,0.018317935988307,0.7194066643714905
13,699,0.0758267343044281,,
14,749,,0.018180808052420616,0.7198336124420166
14,749,0.07666599005460739,,
