epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.04482021555304527,0.6344984173774719
0,61,0.08931770920753479,,
1,123,,0.041431330144405365,0.7966024279594421
1,123,0.07985877990722656,,
2,185,,0.035755258053541183,0.8090465068817139
2,185,0.07662378996610641,,
3,247,,0.03583317622542381,0.8173306584358215
3,247,0.07678485661745071,,
4,309,,0.038690537214279175,0.830362856388092
4,309,0.07621831446886063,,
5,371,,0.03333360701799393,0.8261978030204773
5,371,0.07525061815977097,,
6,433,,0.03530243784189224,0.8227308988571167
6,433,0.07527995109558105,,
7,495,,0.0347423255443573,0.8197199702262878
7,495,0.0750940665602684,,
8,557,,0.034589216113090515,0.829994261264801
8,557,0.07474397122859955,,
9,619,,0.033806029707193375,0.8308477997779846
9,619,0.07458647340536118,,
10,681,,0.03453783318400383,0.8265702128410339
10,681,0.07367254048585892,,
11,743,,0.03581833466887474,0.8350054621696472
11,743,0.07406769692897797,,
12,805,,0.031155001372098923,0.8380588293075562
12,805,0.0736236497759819,,
13,867,,0.03532606363296509,0.8265368342399597
13,867,0.07317601889371872,,
14,929,,0.03649219870567322,0.8279016017913818
14,929,0.07343141734600067,,
