epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.023515034466981888,0.5499873757362366
0,49,0.0966484323143959,,
1,99,,0.02496856078505516,0.610267698764801
1,99,0.07616443186998367,,
2,149,,0.022372111678123474,0.6665384769439697
2,149,0.07494139671325684,,
3,199,,0.023651331663131714,0.6965042352676392
3,199,0.07393468171358109,,
4,249,,0.023429004475474358,0.6986622214317322
4,249,0.07477325946092606,,
5,299,,0.023830439895391464,0.6972901225090027
5,299,0.07365711033344269,,
6,349,,0.025441620498895645,0.6957562565803528
6,349,0.0732787549495697,,
7,399,,0.020352520048618317,0.6989820003509521
7,399,0.07367580384016037,,
8,449,,0.024454161524772644,0.6999890208244324
8,449,0.07392258197069168,,
9,499,,0.01914282515645027,0.7018857598304749
9,499,0.07345105707645416,,
10,549,,0.019391018897294998,0.7038624286651611
10,549,0.07327774912118912,,
11,599,,0.022082341834902763,0.7052457928657532
11,599,0.07306957244873047,,
12,649,,0.024802343919873238,0.7022104263305664
12,649,0.07361560314893723,,
13,699,,0.020844731479883194,0.7065584063529968
13,699,0.07344542443752289,,
14,749,,0.02080586552619934,0.707317054271698
14,749,0.07278039306402206,,
