epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,15,,4958.40869140625,0.7711292505264282
0,15,8545.283203125,,
1,31,,4724.71240234375,0.8369123935699463
1,31,8031.35595703125,,
2,47,,4594.21435546875,0.8491836190223694
2,47,7791.439453125,,
3,63,,4595.58740234375,0.8513379693031311
3,63,7729.82177734375,,
4,79,,4625.3896484375,0.8567983508110046
4,79,7675.21630859375,,
5,95,,4590.75048828125,0.8552300930023193
5,95,7633.84521484375,,
6,111,,4512.07275390625,0.8552823066711426
6,111,7631.82861328125,,
7,127,,4486.3974609375,0.8581439852714539
7,127,7585.64404296875,,
8,143,,4460.09716796875,0.8597002625465393
8,143,7560.12451171875,,
9,159,,4539.0849609375,0.85556960105896
9,159,7555.3779296875,,
10,175,,4393.03857421875,0.8604975342750549
10,175,7577.45703125,,
11,191,,4427.10546875,0.8596364855766296
11,191,7519.6025390625,,
12,207,,4390.00830078125,0.8640634417533875
12,207,7517.34912109375,,
13,223,,4412.53662109375,0.8552435636520386
13,223,7494.880859375,,
14,239,,4399.52099609375,0.8558201789855957
14,239,7491.43505859375,,
