epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.053181715309619904,0.6296868920326233
0,61,0.09474076330661774,,
1,123,,0.04500114917755127,0.6604612469673157
1,123,0.07563868165016174,,
2,185,,0.04107603430747986,0.6915774941444397
2,185,0.07371848821640015,,
3,247,,0.0404420904815197,0.7178983688354492
3,247,0.07099838554859161,,
4,309,,0.0367702879011631,0.7399327158927917
4,309,0.07047867029905319,,
5,371,,0.03704151138663292,0.7533242106437683
5,371,0.07015801966190338,,
6,433,,0.04017963260412216,0.7660887241363525
6,433,0.06950534880161285,,
7,495,,0.04173514246940613,0.7747939825057983
7,495,0.06911756843328476,,
8,557,,0.036441970616579056,0.7770878076553345
8,557,0.06877406686544418,,
9,619,,0.03536481037735939,0.7783969044685364
9,619,0.06910344958305359,,
10,681,,0.034120820462703705,0.7798921465873718
10,681,0.06820877641439438,,
11,743,,0.0377776212990284,0.7873018980026245
11,743,0.06856638938188553,,
12,805,,0.03710783272981644,0.7519510388374329
12,805,0.06847052276134491,,
13,867,,0.03478788956999779,0.7683684825897217
13,867,0.06847217679023743,,
14,929,,0.03610008582472801,0.7813858985900879
14,929,0.06758306920528412,,
