epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.049213990569114685,0.6510427594184875
0,61,0.08748946338891983,,
1,123,,0.04124138131737709,0.6866903305053711
1,123,0.07164397090673447,,
2,185,,0.03820597380399704,0.7166855931282043
2,185,0.06952609121799469,,
3,247,,0.03895201161503792,0.7361572980880737
3,247,0.06753912568092346,,
4,309,,0.03581603989005089,0.756050169467926
4,309,0.06730305403470993,,
5,371,,0.035766471177339554,0.7604486346244812
5,371,0.06718506664037704,,
6,433,,0.03813628479838371,0.766399085521698
6,433,0.06660234183073044,,
7,495,,0.040798820555210114,0.7774263620376587
7,495,0.06615353375673294,,
8,557,,0.03539726510643959,0.7825629115104675
8,557,0.06567028164863586,,
9,619,,0.03384321928024292,0.7774037718772888
9,619,0.06615142524242401,,
10,681,,0.03379198536276817,0.7807241082191467
10,681,0.06511111557483673,,
11,743,,0.03676793724298477,0.7807717323303223
11,743,0.06542609632015228,,
12,805,,0.03644879162311554,0.7687293291091919
12,805,0.06521336734294891,,
13,867,,0.033746663480997086,0.7733810544013977
13,867,0.06533711403608322,,
14,929,,0.035512711852788925,0.7802508473396301
14,929,0.06443285942077637,,
