epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.05695847049355507,0.6019741296768188
0,61,0.1347423791885376,,
1,123,,0.04688543826341629,0.6311004757881165
1,123,0.07545260339975357,,
2,185,,0.0456954650580883,0.6591364741325378
2,185,0.07314908504486084,,
3,247,,0.04359603673219681,0.6779171228408813
3,247,0.07153713703155518,,
4,309,,0.04083999991416931,0.6974934339523315
4,309,0.06939978897571564,,
5,371,,0.038193728774785995,0.7127307653427124
5,371,0.06869933009147644,,
6,433,,0.03806411847472191,0.7247748970985413
6,433,0.06795410811901093,,
7,495,,0.037088435143232346,0.7391753792762756
7,495,0.06779766827821732,,
8,557,,0.03993775695562363,0.7436415553092957
8,557,0.06725145876407623,,
9,619,,0.03545309603214264,0.7557337880134583
9,619,0.06737124174833298,,
10,681,,0.035629067569971085,0.7711275815963745
10,681,0.06662106513977051,,
11,743,,0.034962523728609085,0.7736040949821472
11,743,0.06624461710453033,,
12,805,,0.03690359741449356,0.7704890966415405
12,805,0.06590187549591064,,
13,867,,0.036025453358888626,0.7717512249946594
13,867,0.06588902324438095,,
14,929,,0.034257497638463974,0.773100733757019
14,929,0.06624724715948105,,
