epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.04974174499511719,0.33625563979148865
0,61,0.10623607784509659,,
1,123,,0.05116790533065796,0.43703174591064453
1,123,0.07186286151409149,,
2,185,,0.05133312568068504,0.5123741030693054
2,185,0.07136108726263046,,
3,247,,0.05251568555831909,0.5272158980369568
3,247,0.07106989622116089,,
4,309,,0.048686135560274124,0.5281115770339966
4,309,0.06946723163127899,,
5,371,,0.04805459454655647,0.5323375463485718
5,371,0.0683717131614685,,
6,433,,0.0479888916015625,0.5343568921089172
6,433,0.06722648441791534,,
7,495,,0.045898955315351486,0.5387394428253174
7,495,0.06790094822645187,,
8,557,,0.04614775627851486,0.5241523385047913
8,557,0.06655143201351166,,
9,619,,0.044843461364507675,0.5317258834838867
9,619,0.06510313600301743,,
10,681,,0.043746888637542725,0.5255457758903503
10,681,0.064753457903862,,
11,743,,0.04389968886971474,0.5271124243736267
11,743,0.0647188201546669,,
12,805,,0.04366230592131615,0.526904821395874
12,805,0.0642767995595932,,
13,867,,0.04412529245018959,0.5171343088150024
13,867,0.06421887129545212,,
14,929,,0.043398939073085785,0.5247951745986938
14,929,0.06406960636377335,,
