epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.0368654765188694,0.7837083339691162
0,61,0.08520013093948364,,
1,123,,0.0395391583442688,0.806878387928009
1,123,0.07874258607625961,,
2,185,,0.031538039445877075,0.8247286081314087
2,185,0.0766538679599762,,
3,247,,0.03599835932254791,0.7999858260154724
3,247,0.07653510570526123,,
4,309,,0.03628095984458923,0.8350365161895752
4,309,0.07615423947572708,,
5,371,,0.039268188178539276,0.8248175382614136
5,371,0.0746818408370018,,
6,433,,0.04614781215786934,0.8051852583885193
6,433,0.07564923167228699,,
7,495,,0.029886631295084953,0.8241958618164062
7,495,0.07581999897956848,,
8,557,,0.03381476178765297,0.8145999908447266
8,557,0.07431550323963165,,
9,619,,0.04096771404147148,0.838814914226532
9,619,0.07541615515947342,,
10,681,,0.03256169334053993,0.830385684967041
10,681,0.07374019920825958,,
11,743,,0.03995507210493088,0.826607882976532
11,743,0.07444822043180466,,
12,805,,0.03700665012001991,0.8393202424049377
12,805,0.07375848293304443,,
13,867,,0.031560443341732025,0.8292277455329895
13,867,0.07317277789115906,,
14,929,,0.03319547697901726,0.8330193758010864
14,929,0.07334289699792862,,
