epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,24,,6740.23828125,0.7612547874450684
0,24,7242.47265625,,
1,49,,6550.2763671875,0.7601354122161865
1,49,6993.4013671875,,
2,74,,6500.1123046875,0.7687904834747314
2,74,6916.67236328125,,
3,99,,6562.1103515625,0.7610248923301697
3,99,6897.0107421875,,
4,124,,6430.591796875,0.7703521847724915
4,124,6876.71142578125,,
5,149,,6394.48779296875,0.7704330682754517
5,149,6820.48486328125,,
6,174,,6399.21240234375,0.7790061831474304
6,174,6787.02880859375,,
7,199,,6344.7314453125,0.7620489001274109
7,199,6754.74658203125,,
8,224,,6257.54638671875,0.7790268659591675
8,224,6736.30322265625,,
9,249,,6194.240234375,0.7759793400764465
9,249,6703.42724609375,,
10,274,,6243.15673828125,0.7766785025596619
10,274,6673.025390625,,
11,299,,6258.66259765625,0.7728517651557922
11,299,6723.107421875,,
12,324,,6236.1435546875,0.7835355997085571
12,324,6690.02978515625,,
13,349,,6134.5263671875,0.7891810536384583
13,349,6663.26318359375,,
14,374,,6163.68603515625,0.7799868583679199
14,374,6664.31787109375,,
