epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.0236496739089489,0.5561097860336304
0,49,0.10564639419317245,,
1,99,,0.02530280128121376,0.5853061079978943
1,99,0.07654625922441483,,
2,149,,0.024091897532343864,0.6214492321014404
2,149,0.07596268504858017,,
3,199,,0.02270662970840931,0.6640712022781372
3,199,0.07521083205938339,,
4,249,,0.022177333012223244,0.6927826404571533
4,249,0.07463078200817108,,
5,299,,0.020874876528978348,0.6984877586364746
5,299,0.07387017458677292,,
6,349,,0.020184729248285294,0.7004589438438416
6,349,0.07402821630239487,,
7,399,,0.02143137715756893,0.7006388902664185
7,399,0.07355266064405441,,
8,449,,0.020072171464562416,0.7018278241157532
8,449,0.07331741601228714,,
9,499,,0.02260192111134529,0.7015103697776794
9,499,0.07333612442016602,,
10,549,,0.019107120111584663,0.7023216485977173
10,549,0.07346712052822113,,
11,599,,0.02258377894759178,0.7017616629600525
11,599,0.07359971851110458,,
12,649,,0.01991106942296028,0.7033104300498962
12,649,0.07305125147104263,,
13,699,,0.019066685810685158,0.7048588991165161
13,699,0.0726369097828865,,
14,749,,0.019937889650464058,0.7055252194404602
14,749,0.07375072687864304,,
