epoch,step,train_loss_RANK,val_loss_RANK,val_map_at_k_metric
0,12,,24227.892578125,0.7310630679130554
0,12,25150.04296875,,
1,25,,23746.84765625,0.7655246257781982
1,25,24511.70703125,,
2,38,,23756.806640625,0.7607828378677368
2,38,24348.822265625,,
3,51,,23629.16796875,0.7695297598838806
3,51,24254.814453125,,
4,64,,23485.05078125,0.7712318301200867
4,64,24189.083984375,,
5,77,,23411.189453125,0.7666884660720825
5,77,24146.787109375,,
6,90,,23559.08203125,0.7722546458244324
6,90,24154.236328125,,
7,103,,23603.822265625,0.7702540159225464
7,103,24082.421875,,
8,116,,23447.009765625,0.7748766541481018
8,116,24088.943359375,,
9,129,,23294.8828125,0.7732073664665222
9,129,24034.228515625,,
10,142,,23485.892578125,0.7745941281318665
10,142,24093.37109375,,
11,155,,23376.84765625,0.7759650349617004
11,155,24035.40234375,,
12,168,,23601.16015625,0.7743285894393921
12,168,23995.865234375,,
13,181,,23315.173828125,0.771467924118042
13,181,24053.111328125,,
14,194,,23330.59765625,0.7738245129585266
14,194,23994.50390625,,
