epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.031929586082696915,0.5572443604469299
0,49,0.08448448032140732,,
1,99,,0.022946316748857498,0.5766751766204834
1,99,0.07366545498371124,,
2,149,,0.02080823853611946,0.698746919631958
2,149,0.06904073059558868,,
3,199,,0.020786579698324203,0.6987420916557312
3,199,0.0668518915772438,,
4,249,,0.021202996373176575,0.7010901570320129
4,249,0.06693095713853836,,
5,299,,0.02041558548808098,0.7048101425170898
5,299,0.06616131216287613,,
6,349,,0.01831105723977089,0.7030436992645264
6,349,0.06633002310991287,,
7,399,,0.01927577704191208,0.706836998462677
7,399,0.06567002832889557,,
8,449,,0.018833449110388756,0.6989743113517761
8,449,0.06541504710912704,,
9,499,,0.019391551613807678,0.7088871598243713
9,499,0.06537056714296341,,
10,549,,0.018020061776041985,0.7156542539596558
10,549,0.06549927592277527,,
11,599,,0.017660485580563545,0.7194308638572693
11,599,0.06535451114177704,,
12,649,,0.017492439597845078,0.7283994555473328
12,649,0.06499762088060379,,
13,699,,0.017536744475364685,0.731836199760437
13,699,0.06470263004302979,,
14,749,,0.017019297927618027,0.7210161089897156
14,749,0.06548324972391129,,
