epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,61,,0.04948055371642113,0.7179656624794006
0,61,0.08538314700126648,,
1,123,,0.03964334726333618,0.7995032668113708
1,123,0.07600020617246628,,
2,185,,0.041400473564863205,0.8190200924873352
2,185,0.07423336803913116,,
3,247,,0.03299437835812569,0.8140955567359924
3,247,0.07349919527769089,,
4,309,,0.038331396877765656,0.8426382541656494
4,309,0.07324075698852539,,
5,371,,0.03578965738415718,0.8260350823402405
5,371,0.07287180423736572,,
6,433,,0.03352639451622963,0.8303830623626709
6,433,0.07258753478527069,,
7,495,,0.03708549961447716,0.8383540511131287
7,495,0.0722646713256836,,
8,557,,0.030149005353450775,0.8248026371002197
8,557,0.07194981724023819,,
9,619,,0.03116033412516117,0.8243046998977661
9,619,0.0727013647556305,,
10,681,,0.03123048134148121,0.8377878665924072
10,681,0.07099253684282303,,
11,743,,0.029062362387776375,0.8360514044761658
11,743,0.07111985236406326,,
12,805,,0.03659876808524132,0.8181484341621399
12,805,0.07063446193933487,,
13,867,,0.03305361419916153,0.835679829120636
13,867,0.07164622843265533,,
14,929,,0.02925298735499382,0.8257567286491394
14,929,0.07110024243593216,,
