epoch,step,train_loss_MSE,val_loss_MSE,val_map_at_k_metric
0,49,,0.023665348067879677,0.5562390089035034
0,49,0.10510873049497604,,
1,99,,0.025206822901964188,0.586616039276123
1,99,0.07653957605361938,,
2,149,,0.02402268536388874,0.6230961680412292
2,149,0.07594136893749237,,
3,199,,0.022583771497011185,0.6668521165847778
3,199,0.07516705244779587,,
4,249,,0.021959053352475166,0.69632488489151
4,249,0.07458160072565079,,
5,299,,0.020755672827363014,0.7013241648674011
5,299,0.07383152842521667,,
6,349,,0.020208777859807014,0.7010548710823059
6,349,0.07399658858776093,,
7,399,,0.021394716575741768,0.7001982927322388
7,399,0.07353020459413528,,
8,449,,0.019981930032372475,0.7021052837371826
8,449,0.07329061627388,,
9,499,,0.022497765719890594,0.7014033198356628
9,499,0.07332342863082886,,
10,549,,0.018973544239997864,0.7030975818634033
10,549,0.07343599200248718,,
11,599,,0.0225983913987875,0.7024745345115662
11,599,0.07356923818588257,,
12,649,,0.01989820972084999,0.7033790349960327
12,649,0.07302472740411758,,
13,699,,0.018948420882225037,0.705268919467926
13,699,0.07260306179523468,,
14,749,,0.019892936572432518,0.7065551280975342
14,749,0.07370465993881226,,
