epoch,step,train_loss
1,49,0.21889625489711761
3,99,0.22364535927772522
4,149,0.2306327372789383
6,199,0.21115021407604218
8,249,0.2206912338733673
9,299,0.22639811038970947
11,349,0.22179940342903137
12,399,0.22271347045898438
14,449,0.2246760129928589
16,499,0.22085757553577423
17,549,0.213751882314682
19,599,0.22367727756500244
20,649,0.23777884244918823
22,699,0.2220190465450287
24,749,0.2268710434436798
25,799,0.22367413341999054
27,849,0.22307491302490234
29,899,0.2242293357849121
30,949,0.21241077780723572
32,999,0.22766120731830597
33,1049,0.2293592393398285
35,1099,0.2189801037311554
37,1149,0.22334064543247223
38,1199,0.2106473594903946
40,1249,0.2291187345981598
41,1299,0.20818711817264557
43,1349,0.2254142314195633
45,1399,0.21901951730251312
46,1449,0.22016972303390503
48,1499,0.22699972987174988
49,1549,0.2147246152162552
51,1599,0.21891607344150543
53,1649,0.2236616313457489
54,1699,0.23063945770263672
56,1749,0.211145281791687
58,1799,0.2207045704126358
59,1849,0.2264004647731781
61,1899,0.22177274525165558
62,1949,0.22273561358451843
64,1999,0.2246752232313156
66,2049,0.22080408036708832
67,2099,0.2137223184108734
69,2149,0.22368170320987701
70,2199,0.23777630925178528
72,2249,0.22202147543430328
74,2299,0.226822629570961
75,2349,0.2236710488796234
77,2399,0.22307392954826355
79,2449,0.22420254349708557
80,2499,0.21236883103847504
82,2549,0.22766810655593872
83,2599,0.22934788465499878
85,2649,0.21901360154151917
87,2699,0.22332651913166046
88,2749,0.21067409217357635
90,2799,0.2291148155927658
91,2849,0.208163782954216
93,2899,0.2254193127155304
95,2949,0.21901920437812805
96,2999,0.22018079459667206
98,3049,0.22702078521251678
99,3099,0.21469074487686157
